Institucio,Campana,Ubicacion,Direccion,lon,lat
,VIDRIO,SUPERMERCADO LIDER,PAUL HARRIS / ESTORIL,-70.531273,-33.386071
,BOTELLA DE PLASTICO PET NUM 1,VIA PUBLICA,ALCALDE MANUEL DE LA LASTRA / FRANCISCO BILBAO,-70.554556,-33.430644
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,FRANCISCO BILBAO / DUQUECO,-70.547487,-33.429561
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,FRANCISCO BULNES CORREA / CAMINO LAS FLORES,-70.517164,-33.395241
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,ALONSO DE CORDOVA / O`CONNELL,-70.568788,-33.407871
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER EXPRESS ESTORIL,LAS CONDES 10295,-70.534173,-33.384163
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER EXPRESS LATADIA,AMERICO VESPUCIO SUR 1790,-70.574741,-33.428518
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER EXPRESS TOMAS MORO,TOMAS MORO 1590,-70.552819,-33.414567
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER LOS DOMINICOS,CAMINO EL ALBA 11865,-70.515906,-33.401136
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO SANTA ISABEL LAS CONDES,MANQUEHUE NORTE 457,-70.568897,-33.403881
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO SANTA ISABEL LAS CONDES,LAS CONDES 12207,-70.518865,-33.373461
,DIARIO Y PAPEL,BANCO CREDITO,EL GOLF 125,-70.591749,-33.414503
,DIARIO Y PAPEL,EMPRESA BGS SA,PAUL HARRIS 9574,-70.535969,-33.39022
,DIARIO Y PAPEL,CLINICA DE SAN CARLOS,CAMINO EL ALBA 12351,-70.508025,-33.399499
,DIARIO Y PAPEL,COMUNIDAD CERRO APOQUINDO,ALEJANDRO FLEMING 11020,-70.524128,-33.422423
,DIARIO Y PAPEL,COMUNIDAD EDIFICIO FLANDES,FLANDES 1166,-70.580963,-33.425512
,DIARIO Y PAPEL,COMUNIDAD EDIFICIO ESCANDINAVIA,MARTIN DE ZAMORA 4621,-70.577556,-33.419273
,DIARIO Y PAPEL,COMUNIDAD EDIFICIO HUIDOBRO,PRESIDENTE RIESCO 5711,-70.573762,-33.404173
,DIARIO Y PAPEL,COMUNIDAD EDIFICIO JARDIN CASA KENNEDY,CAPITAN CROSBIE 960,-70.558702,-33.394285
,DIARIO Y PAPEL,CONJUNTO HAB MARTIN DE ZAMORA,MARTIN DE ZAMORA 4621,-70.577556,-33.419273
,DIARIO Y PAPEL,EDIFICIO EL DIRECTOR,EL DIRECTOR 5813,-70.567343,-33.413209
,DIARIO Y PAPEL,EDIFICIO SEGOVIA,LA PASTORA 181,-70.596206,-33.413952
,DIARIO Y PAPEL,EDIFICIO,NORUEGA 6595,-70.563295,-33.404836
,DIARIO Y PAPEL,PARROQUIA LA TRANSFIGURACION DEL SEÑOR,APOQUINDO 7228,-70.554376,-33.40778
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DE LAS NIEVES,CUARTO CENTENARIO 1720,-70.543735,-33.425783
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DE LOS ANGELES,EL GOLF 155,-70.591877,-33.413944
,DIARIO Y PAPEL,PARROQUIA NUESTRA SEÑORA DEL ROSARIO,PRESIDENTE RIESCO 6430,-70.568567,-33.40169
,DIARIO Y PAPEL,PARROQUIA SAN PATRICIO,ISABEL LA CATOLICA 6319,-70.562183,-33.425126
,DIARIO Y PAPEL,PARROQUIA SANTA MARIA DE LAS CONDES,LAS CONDES 9700,-70.538786,-33.387267
,DIARIO Y PAPEL,PUNTO LIMPIO,ALONSO DE CORDOVA / O`CONNELL,-70.568788,-33.407871
